mouse,experiment,value,region
A,retro_cre,8.998,baseline
B,retro_cre,14.081,baseline
C,retro_cre,16.495,baseline
A,retro_cre,26.891,mec_l1
B,retro_cre,38.845,mec_l1
C,retro_cre,38.9,mec_l1
A,retro_cre,20.749,dg_oml
B,retro_cre,49.238,dg_oml
C,retro_cre,37.372,dg_oml
A,retro_cre,17.893,mec_l1_normalised
B,retro_cre,24.764,mec_l1_normalised
C,retro_cre,22.405,mec_l1_normalised
A,retro_cre,11.751,dg_oml_normalised
B,retro_cre,35.157,dg_oml_normalised
C,retro_cre,20.877,dg_oml_normalised
D,anter_cre_pir,4.589,baseline
E,anter_cre_pir,5.791,baseline
F,anter_cre_pir,6.01,baseline
G,anter_cre_pir,1.112,baseline
H,anter_cre_mpfc,18.009,baseline
I,anter_cre_mpfc,6.035,baseline
J,anter_cre_mpfc,9.999,baseline
K,anter_cre_mpfc,7.158,baseline
D,anter_cre_pir,29.513,mec_l1
E,anter_cre_pir,29.447,mec_l1
F,anter_cre_pir,21.968,mec_l1
G,anter_cre_pir,15.088,mec_l1
H,anter_cre_mpfc,23.278,mec_l1
I,anter_cre_mpfc,16.856,mec_l1
J,anter_cre_mpfc,19.205,mec_l1
K,anter_cre_mpfc,7.918,mec_l1
D,anter_cre_pir,34.5,dg_oml
E,anter_cre_pir,35.125,dg_oml
F,anter_cre_pir,71.14,dg_oml
G,anter_cre_pir,148,dg_oml
H,anter_cre_mpfc,22.244,dg_oml
I,anter_cre_mpfc,23.458,dg_oml
J,anter_cre_mpfc,25.761,dg_oml
K,anter_cre_mpfc,17.198,dg_oml
D,anter_cre_pir,24.924,mec_l1_normalised
E,anter_cre_pir,23.656,mec_l1_normalised
F,anter_cre_pir,15.958,mec_l1_normalised
G,anter_cre_pir,13.976,mec_l1_normalised
H,anter_cre_mpfc,5.269,mec_l1_normalised
I,anter_cre_mpfc,10.821,mec_l1_normalised
J,anter_cre_mpfc,9.206,mec_l1_normalised
K,anter_cre_mpfc,0.76,mec_l1_normalised
D,anter_cre_pir,29.911,dg_oml_normalised
E,anter_cre_pir,29.334,dg_oml_normalised
F,anter_cre_pir,65.13,dg_oml_normalised
G,anter_cre_pir,146.672,dg_oml_normalised
H,anter_cre_mpfc,4.235,dg_oml_normalised
I,anter_cre_mpfc,17.423,dg_oml_normalised
J,anter_cre_mpfc,15.762,dg_oml_normalised
K,anter_cre_mpfc,10.04,dg_oml_normalised