cell,animal,layer,type,pharma,drug,epsp,epsp_halfwidth,ipsp
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,0.701831333,5.68891,-0.32371398
1309_S2C1,1309,l2,l2_pc,gaba_cgpgz,baseline,1.304045167,13.53333821,-0.527700829
1309_S4C1,1309,l2,l2_sc,gaba_cgpgz,baseline,NA,NA,-1.613000593
180321_S1C1,180321,l2,l2_sc,gaba_cgpgz,baseline,0.540034867,10.225,-0.222797592
180321_S2C1,180321,l2,l2_sc,gaba_cgpgz,baseline,0.701396843,14.2443,-1.747334433
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,cgp,0.05359807,1.37769,-1.484546333
1309_S2C1,1309,l2,l2_pc,gaba_cgpgz,cgp,1.2534831,14.942281,-0.101675994
1309_S4C1,1309,l2,l2_sc,gaba_cgpgz,cgp,NA,NA,-0.375604586
180321_S1C1,180321,l2,l2_sc,gaba_cgpgz,cgp,0.494975842,3.72688,-0.714845283
180321_S2C1,180321,l2,l2_sc,gaba_cgpgz,cgp,0.494975842,5.40689,-1.596338333
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,gz,0.246581413,12.783,0.075698464
1309_S2C1,1309,l2,l2_pc,gaba_cgpgz,gz,1.237409,18.27932,-0.024297247
1309_S4C1,1309,l2,l2_sc,gaba_cgpgz,gz,NA,NA,-0.097202293
180321_S1C1,180321,l2,l2_sc,gaba_cgpgz,gz,0.784204655,25.2886,0.571442966
180321_S2C1,180321,l2,l2_sc,gaba_cgpgz,gz,1.051346293,55.6911,0.735180233
1237_S2C2,1237,l2,l2_sc,gaba_gzcgp,baseline,0.73000188,17.1825,-0.150971141
1241_S2C2,1241,l2,l2_sc,gaba_gzcgp,baseline,3.4818,14.54937551,-0.112625157
1312_S2C1,1312,l2,l2_pc,gaba_gzcgp,baseline,0.10462116,NA,-0.070884695
1354_S3C1,1354,l2,l2_pc,gaba_gzcgp,baseline,6.329731667,8.690503,-3.925477
1354_S4C1,1354,l2,l2_sc,gaba_gzcgp,baseline,1.1170763,2.57088788,-2.117050667
1355_S1C1,1355,l2,l2_pc,gaba_gzcgp,baseline,1.2015408,2.829877,-0.353146535
1355_S2C1,1355,l2,l2_sc,gaba_gzcgp,baseline,1.013960586,5.741316538,-0.310187497
1355_S4C1,1355,l2,l2_pc,gaba_gzcgp,baseline,4.184627333,26.63117333,-0.7313951
1356_S1C1,1356,l2,l2_pc,gaba_gzcgp,baseline,4.496866,24.88101852,-0.35080239
1356_S5C1,1356,l2,l2_sc,gaba_gzcgp,baseline,1.692486,15.92431667,-0.49704801
1237_S2C2,1237,l2,l2_sc,gaba_gzcgp,gz,0.241720196,13.1668,-0.02301806
1241_S2C2,1241,l2,l2_sc,gaba_gzcgp,gz,4.122408,16.16604,-0.23552423
1312_S2C1,1312,l2,l2_pc,gaba_gzcgp,gz,0.069686292,NA,0.000638541
1354_S3C1,1354,l2,l2_pc,gaba_gzcgp,gz,6.573675,24.92542333,-3.638923667
1354_S4C1,1354,l2,l2_sc,gaba_gzcgp,gz,3.949337333,20.56109148,-0.78250829
1355_S1C1,1355,l2,l2_pc,gaba_gzcgp,gz,2.454298286,21.02604571,-0.512751114
1355_S2C1,1355,l2,l2_sc,gaba_gzcgp,gz,0.871289867,20.7905,-0.261547421
1355_S4C1,1355,l2,l2_pc,gaba_gzcgp,gz,3.895876,22.31560333,-0.47431314
1356_S1C1,1356,l2,l2_pc,gaba_gzcgp,gz,4.302482333,29.72323,-0.481347223
1356_S5C1,1356,l2,l2_sc,gaba_gzcgp,gz,2.524433333,18.51975172,-0.411727561
1237_S2C2,1237,l2,l2_sc,gaba_gzcgp,cgp,0.331455039,18.8578,0.016353823
1241_S2C2,1241,l2,l2_sc,gaba_gzcgp,cgp,4.153638667,16.42555333,-0.176812335
1312_S2C1,1312,l2,l2_pc,gaba_gzcgp,cgp,0.003778019,NA,-0.010358836
1354_S3C1,1354,l2,l2_pc,gaba_gzcgp,cgp,6.172195667,28.94348667,0.063664047
1354_S4C1,1354,l2,l2_sc,gaba_gzcgp,cgp,3.354524333,28.92295769,0.095397563
1355_S1C1,1355,l2,l2_pc,gaba_gzcgp,cgp,2.1340506,21.724696,-0.120324006
1355_S2C1,1355,l2,l2_sc,gaba_gzcgp,cgp,1.260868732,35.2077,0.057405789
1355_S4C1,1355,l2,l2_pc,gaba_gzcgp,cgp,3.538480333,21.73187333,-0.35328518
1356_S1C1,1356,l2,l2_pc,gaba_gzcgp,cgp,3.681355333,29.09106667,-0.085212092
1356_S5C1,1356,l2,l2_sc,gaba_gzcgp,cgp,3.050785333,22.23926786,-0.173272385