density,distance,id,animal
2795.1,near,a,729
2319.3,near,b,729
1988.2,near,c,729
3555.6,near,d,727
4081.6,near,e,727
8296.4,near,f,727
9074.7,near,g,727
4320.0,near,h,719
5476.2,near,i,719
2738.4,near,j,719
4182.0,near,k,719
870.4,near2,a,729
603.8,near2,b,729
729.0,near2,c,729
5138.9,near2,d,727
3921.6,near2,e,727
3117.3,near2,f,727
2585.5,near2,g,727
1786.7,near2,h,719
2918.1,near2,i,719
676.7,near2,j,719
972.6,near2,k,719
586.7,near3,a,729
428.6,near3,b,729
618.9,near3,c,729
2215.3,near3,d,727
6168.9,near3,e,727
2259.3,near3,f,727
2953.6,near3,g,727
1099.0,near3,h,719
1929.5,near3,i,719
911.2,near3,j,719
1950.6,near3,k,719
670.4,near4,a,729
392.4,near4,b,729
474.6,near4,c,729
2531.3,near4,d,727
2349.4,near4,e,727
2908.8,near4,f,727
3805.8,near4,g,727
2407.9,near4,h,719
2995.9,near4,i,719
887.7,near4,j,719
2724.7,near4,k,719
840.7,near5,a,729
718.1,near5,b,729
194.8,near5,c,729
2654.3,near5,d,727
2645.4,near5,e,727
1185.2,near5,f,727
2776.8,near5,g,727
3646.0,near5,h,719
3710.2,near5,i,719
1327.9,near5,j,719
1974.5,near5,k,719
1317.8,near6,a,729
203.8,near6,b,729
315.5,near6,c,729
2777.8,near6,d,727
3104.0,near6,e,727
1959.9,near6,f,727
4796.7,near6,g,727
3822.0,near6,h,719
4486.6,near6,i,719
568.8,near6,j,719
3149.2,near6,k,719