cell,type,drug,epsp,epsp_pk,ipsp,ipsp_pk
280121_S2C1_J,l2_pc,baseline,4.75801225,4.90707675,NA,NA
280121_S3C1_J,l2_pc,baseline,2.723127,2.83985675,-0.220697818,-0.462174175
20221_S4C1_J,l2_pc,baseline,2.0434394,2.24928455,-0.186883407,-0.577277225
1240_S2C2_J,l2_pc,baseline,0.997446525,1.1511974,-0.245496305,-0.5741931
280121_S2C1_J,l2_pc,ttx,-0.058311085,0.328248503,NA,NA
280121_S3C1_J,l2_pc,ttx,-0.019309223,0.342275547,0.03624526,-0.32397385
20221_S4C1_J,l2_pc,ttx,-0.022758547,0.345738737,0.019213238,-0.4280111
1240_S2C2_J,l2_pc,ttx,0.026306835,0.340666395,-0.016955834,-0.36659877
280121_S2C1_J,l2_pc,4ap,1.740599925,1.969369525,NA,NA
280121_S3C1_J,l2_pc,4ap,1.012924875,1.1815822,0.011146758,-0.325371375
20221_S4C1_J,l2_pc,4ap,1.32198715,1.502206825,0.013267033,-0.455527425
1240_S2C2_J,l2_pc,4ap,0.439735544,0.656655125,-0.020152687,-0.40045425
10221_S1C1_J,l2_in,baseline,14.87079,15.90339,-1.493976225,-3.0549655
1242_S1C1_J,l2_in,baseline,2.785107259,3.965609559,NA,-0.717570394
1237_S1C2,l2_in,baseline,14.953354,15.251086,NA,-0.60397448
10221_S1C1_J,l2_in,ttx,-0.029583338,1.438184745,-0.112760251,-1.4787676
1242_S1C1_J,l2_in,ttx,0.544411459,0.998875179,NA,-0.675082613
1237_S1C2,l2_in,ttx,0.009709191,0.522607752,NA,-0.551955
10221_S1C1_J,l2_in,4ap,13.85972733,16.0072,0.304698343,-2.1046715
1242_S1C1_J,l2_in,4ap,4.8975685,5.05262275,NA,-0.428549746
1237_S1C2,l2_in,4ap,12.8435278,13.216354,NA,-0.65871024
180321_S2C2_J,l2_sc,baseline,2.97616625,3.1558015,-0.800419875,-1.012939725
180321_S3C1_J,l2_sc,baseline,1.150567325,1.321351825,-0.221445286,-0.46981985
1221_S1C1_J,l2_sc,baseline,0.34028286,0.5823916,-0.055014784,-0.36393625
1221_S3C2_J,l2_sc,baseline,0.337599922,0.53353105,NA,-0.32568855
1237_S2C2_J,l2_sc,baseline,0.304826141,0.469092449,-0.20688397,-0.554784359
1241_S2C1_J,l2_sc,baseline,0.664400625,0.791406225,-0.272102382,-0.512969625
1241_S3C1_J,l2_sc,baseline,0.760475383,1.008938725,NA,-0.364576918
180321_S2C2_J,l2_sc,ttx,-0.023171312,0.359223,-0.031664967,-0.377315
180321_S3C1_J,l2_sc,ttx,0.025405477,0.3112237,-0.030807136,-0.432603525
1221_S1C1_J,l2_sc,ttx,0.000122849,0.4191403,0.002392287,-0.3495311
1221_S3C2_J,l2_sc,ttx,-0.015857833,0.314733568,NA,-0.342819897
1237_S2C2_J,l2_sc,ttx,0.004134566,0.379327355,0.006805814,-0.383719075
1241_S2C1_J,l2_sc,ttx,-0.01573424,0.26503947,-0.013275122,-0.33550747
1241_S3C1_J,l2_sc,ttx,-0.037967248,0.243514401,NA,-0.370603455
180321_S2C2_J,l2_sc,4ap,5.47824975,5.6176515,-1.1070582,-1.28391015
180321_S3C1_J,l2_sc,4ap,1.144304575,1.3238876,-0.27248462,-0.4572062
1221_S1C1_J,l2_sc,4ap,-0.004638738,0.387467125,-0.004638738,-0.37620485
1221_S3C2_J,l2_sc,4ap,0.041359076,0.3700638,NA,-0.368530487
1237_S2C2_J,l2_sc,4ap,0.31898667,0.502565205,0.032353573,-0.402043875
1241_S2C1_J,l2_sc,4ap,0.751656294,0.870135471,-0.086640471,-0.290893471
1241_S3C1_J,l2_sc,4ap,0.18953002,0.40397996,NA,-0.288052245
1306_S3C1,l1_in,baseline,15.1479424,15.6031864,NA,-1.274312596
1354_S2C1,l1_in,baseline,29.364136,29.81014,NA,-0.313604822
1306_S3C1,l1_in,ttx,-0.143214747,2.098699773,NA,-1.244008033
1354_S2C1,l1_in,ttx,1.1753183,1.692629733,NA,-0.516745177
1306_S3C1,l1_in,4ap,12.45798533,13.47156333,NA,-1.0107248
1354_S2C1,l1_in,4ap,28.87368667,29.54908667,NA,-0.05300255